"","RegulatedEntityName","Individual_Pre-Poll 1 - Party(06/11/19 - 12/11/19) UKPGE 2019","Individual_Pre-Poll 1 - Party(30/05/24 - 05/06/24) UKPGE 2024","Company_Pre-Poll 1 - Party(06/11/19 - 12/11/19) UKPGE 2019","Company_Pre-Poll 1 - Party(30/05/24 - 05/06/24) UKPGE 2024","Trade Union_Pre-Poll 1 - Party(06/11/19 - 12/11/19) UKPGE 2019","Trade Union_Pre-Poll 1 - Party(30/05/24 - 05/06/24) UKPGE 2024","Unincorporated Association_Pre-Poll 1 - Party(06/11/19 - 12/11/19) UKPGE 2019","Unincorporated Association_Pre-Poll 1 - Party(30/05/24 - 05/06/24) UKPGE 2024","Friendly Society_Pre-Poll 1 - Party(06/11/19 - 12/11/19) UKPGE 2019","Friendly Society_Pre-Poll 1 - Party(30/05/24 - 05/06/24) UKPGE 2024"
"1","Conservative and Unionist Party","£2,909,146","£  471,418","£2,764,500","£   75,000","£        0","£        0","£        0","£   28,500","£        0","£        0"
"2","Labour Party","£   40,000","£  484,000","£   15,000","£  500,000","£  153,000","£   32,908","£   10,500","£        0","£        0","£   30,000"
"3","Liberal Democrats","£  200,000","£  105,000","£   75,000","£  349,999","£        0","£        0","£        0","£        0","£        0","£        0"
"4","Reform UK","£  250,000","£   90,000","£        0","£   50,000","£        0","£        0","£        0","£        0","£        0","£        0"
"5","Scottish National Party (SNP)","£        0","£  127,998","£        0","£        0","£        0","£        0","£        0","£        0","£        0","£        0"
"6","Green Party","£   30,000","£        0","£        0","£        0","£        0","£        0","£        0","£        0","£        0","£        0"
"7","Climate Party","£        0","£        0","£        0","£   25,000","£        0","£        0","£        0","£        0","£        0","£        0"
"8","Social Democratic Party","£        0","£   25,000","£        0","£        0","£        0","£        0","£        0","£        0","£        0","£        0"
"9","Alliance - Alliance Party of Northern Ireland","£   10,000","£        0","£   50,000","£        0","£        0","£        0","£        0","£        0","£        0","£        0"
"10","Total","£3,439,146","£1,303,416","£2,904,500","£999,999","£153,000","£32,908","£10,500","£28,500","£0","£30,000"
